model,dimension,category,mean,std,variance,min,max,n
MP-Penta Hexa,vaccine,Td,956354.1759813334,170093.3030988054,28931731759.062077,807885.0,1161411.0,30
MP-Penta Hexa,manufacturer,AJ_Vaccines,1266170.0,0.0,0.0,1266170.0,1266170.0,30
MP-Penta Hexa,manufacturer,BB_NCIPD,746473.0,0.0,0.0,746473.0,746473.0,30
MP-Penta Hexa,manufacturer,Bharat_Biotech,1471542.6666666667,49497.48969616765,2450001486.2222223,1361380.0,1495860.0,30
MP-Penta Hexa,manufacturer,Bilthoven,604250.0,0.0,0.0,604250.0,604250.0,30
MP-Penta Hexa,manufacturer,Biological_E,8002537.0,0.0,0.0,8002537.0,8002537.0,30
MP-Penta Hexa,manufacturer,China_National,1730951.8,12775.855774076348,163222490.75999996,1666948.0,1758382.0,30
MP-Penta Hexa,manufacturer,GSK,3190088.0,44856.61351462005,2012115775.9999938,3094080.0,3218160.0,30
MP-Penta Hexa,manufacturer,Haffkine_Bio,81200.0,0.0,0.0,81200.0,81200.0,30
MP-Penta Hexa,manufacturer,LG_Chem,34334700.0,0.0,0.0,34334700.0,34334700.0,30
MP-Penta Hexa,manufacturer,Merck_Sharp,424732.0,21556.43606907227,464679936.0,410620.0,457660.0,30
MP-Penta Hexa,manufacturer,PT_Bio,8151892.0,8.670141326740968e-10,7.517135062566164e-19,8151891.999999996,8151892.000000003,30
MP-Penta Hexa,manufacturer,Panacea_Biotec,14820855.0,22202.57924206114,492954525.0000042,14786939.999999998,14835390.0,30
MP-Penta Hexa,manufacturer,Pfizer,596410.0,0.0,0.0,596410.0,596410.0,30
MP-Penta Hexa,manufacturer,Sanofi,1484798.0,0.0,0.0,1484798.0,1484798.0,30
MP-Penta Hexa,manufacturer,Serum_Institute,742182.6999999997,2.3283064365386963e-10,5.421010862427522e-20,742182.7,742182.7,30
UG-No Penta Hexa,total,total,8848789.480658254,396959.763355615,157577053723.3459,8017243.914688946,9276047.674964434,30
UG-No Penta Hexa,vaccine,DT,358875.0,0.0,0.0,358875.0,358875.0,30
UG-No Penta Hexa,vaccine,DTwP,697202.3999999998,2.3283064365386963e-10,5.421010862427522e-20,697202.4,697202.4,30
UG-No Penta Hexa,vaccine,DTwP-Hib,150829.0,0.0,0.0,150829.0,150829.0,30
