model,variable,category,mean,std,variance,ci95,min,max,n
SB-1,S,Rotavirus,1136872.0022981474,158320.16609742114,25065274993.11502,59718.711136135,837685.7199999996,1474410.4899999993,27
SB-1,S,Tetanus,1190524.7875387846,423904.7913141926,179695272099.12918,159897.8096456672,214405.1059299998,2057481.6459299983,27
SB-2,I,TOTAL,1478751.0320030004,418387.2955489295,175047929076.74728,149717.9709032099,1159179.1107909998,3658153.8475360004,30
SB-2,I,DT,20581.7037925667,8623.070333550722,74357341.97736257,3085.7260892710274,8029.6238349999985,42562.072495000204,30
SB-2,I,DTwP,3746.5734347667053,4287.326253513955,18381166.40407,1534.1999962833543,0.0,12269.18799999999,30
SB-2,I,DTwP-Hib,6229.590926666674,4862.276427920119,23641732.06150764,1739.943273859694,0.0,16102.197594000003,30
SB-2,I,HPV,189751.82976666666,26942.27829001689,725886359.4567155,9641.17046574899,130776.97699999996,239917.1175,30
SB-2,I,HepB,23661.48896533333,17157.90943550085,294393856.1968491,6139.8790378036365,0.0,50703.19064,30
SB-2,I,Hexa,4830.382044666663,5281.181747445413,27890880.649550583,1889.8466172621304,0.0,16061.90311799994,30
SB-2,I,IPV,19172.730440000003,9425.398902465604,88838144.4705998,3372.835680345033,6824.599141999997,38345.363559,30
SB-2,I,OPV,10351.206375366664,7666.999359759808,58782879.1825573,2743.600485175834,0.0,21359.166021,30
SB-2,I,PCV,1160616.4147000003,418124.9583659852,174828480808.55685,149624.0947479329,893569.985,3356828.8580000005,30
SB-2,I,Penta,27662.131194300026,10491.531605146629,110072235.4217906,3754.346368305899,10228.419779999997,47917.84752799999,30
SB-2,I,Rotavirus,8503.309603933327,2202.858672111402,4852586.32929641,788.2828519980435,3532.79,13516.234999999997,30
SB-2,I,TT,264.7206208666678,560.8399164145912,314541.4118439257,200.69398660146123,0.0,2304.78,30
SB-2,I,Td,3378.9501378666814,3672.4370243219546,13486793.697610693,1314.164711502345,0.0,14502.158166000032,30
