unit,values,type,pair_idx,pair,pair_probability
PT_Bio,"[45911731.0, 45911731.0, 45911731.0, 45911731.0, 45911731.0, 45911731.0, 45911731.0, 45911731.0, 45911731.0, 45911731.0]",manufacturer,4,Demand: 2 - Capacity: base_capacity,0.1077504
Panacea_Biotec,"[10874165.0, 10874165.0, 10874165.0, 10874165.0, 10874165.0, 10874165.0, 10874165.0, 10874165.0, 10874165.0, 10874165.0]",manufacturer,4,Demand: 2 - Capacity: base_capacity,0.1077504
Pfizer,"[83916974.0, 83916974.0, 83916974.0, 83916974.0, 83916974.0, 83916974.0, 83916974.0, 83916974.0, 83916974.0, 83916974.0]",manufacturer,4,Demand: 2 - Capacity: base_capacity,0.1077504
Sanofi,"[87429432.0, 87429432.0, 87429432.0, 87429432.0, 87429432.0, 87429432.0, 87429432.0, 87429432.0, 87429432.0, 87429432.0]",manufacturer,4,Demand: 2 - Capacity: base_capacity,0.1077504
Serum_Institute,"[587114096.0, 587114096.0, 587114096.0, 587114096.0, 587114096.0, 587114096.0, 587114096.0, 587114096.0, 587114096.0, 587114096.0]",manufacturer,4,Demand: 2 - Capacity: base_capacity,0.1077504
Diphtheria,"[642408300 714535200 897608600 818289200 963049500 931640500 1276827300
 1526507500 2147483648 2147483648]",antigen,5,Demand: 6 - Capacity: base_capacity,0.057242400000000006
HPV,"[28844100 35384600 42445700 44137400 55775600 54943000 64653400 72277000
 81321500 102766700]",antigen,5,Demand: 6 - Capacity: base_capacity,0.057242400000000006
Hepatitis_B,"[328764400 338278000 363941200 315285800 361981700 391349300 380926800
 401354500 470964300 204941500]",antigen,5,Demand: 6 - Capacity: base_capacity,0.057242400000000006
Hib,"[297663600 313468700 307213300 325967900 368972100 378754000 392407500
 381970900 353894200 411595400]",antigen,5,Demand: 6 - Capacity: base_capacity,0.057242400000000006
Measles,"[400883100 581098000 627345300 601708900 527397400 648710700 499739400
 1430522900 749141400 792097600]",antigen,5,Demand: 6 - Capacity: base_capacity,0.057242400000000006
Mumps,"[31323900 40485900 35986200 32310500 28697000 35574100 70375000 18721800
 82701200 57528700]",antigen,5,Demand: 6 - Capacity: base_capacity,0.057242400000000006
PCV,"[234816000 261757300 283853300 311953200 374069800 348716700 337817600
 359541700 788352600 578695300]",antigen,5,Demand: 6 - Capacity: base_capacity,0.057242400000000006
Pertussis,"[345333400 352676200 337014400 374357900 361488700 347533000 394569400
 340491000 313930300 513941800]",antigen,5,Demand: 6 - Capacity: base_capacity,0.057242400000000006
Polio,"[640700600 707179300 727217300 720878200 794851900 569168400 909572600
 704333600 787577600 968494100]",antigen,5,Demand: 6 - Capacity: base_capacity,0.057242400000000006
Rotavirus,"[196024500 214933900 247486700 265032000 430765400 379173100 407748500
 688775600 312426900 685661900]",antigen,5,Demand: 6 - Capacity: base_capacity,0.057242400000000006
Rubella,"[325278800 358973400 356303700 539029100 536140700 565319100 538291600
 763453500 455207700 996210600]",antigen,5,Demand: 6 - Capacity: base_capacity,0.057242400000000006
Tetanus,"[628507500 638317000 667638500 690996300 672818600 751608200 594929900
 688270100 881382600 843943100]",antigen,5,Demand: 6 - Capacity: base_capacity,0.057242400000000006
AJ_Vaccines,"[7711003.0, 7711003.0, 7711003.0, 7711003.0, 7711003.0, 7711003.0, 7711003.0, 7711003.0, 7711003.0, 7711003.0]",manufacturer,5,Demand: 6 - Capacity: base_capacity,0.057242400000000006
BB_NCIPD,"[39223956.0, 39223956.0, 39223956.0, 39223956.0, 39223956.0, 39223956.0, 39223956.0, 39223956.0, 39223956.0, 39223956.0]",manufacturer,5,Demand: 6 - Capacity: base_capacity,0.057242400000000006
Bharat_Biotech,"[61029105.0, 61029105.0, 61029105.0, 61029105.0, 61029105.0, 61029105.0, 61029105.0, 61029105.0, 61029105.0, 61029105.0]",manufacturer,5,Demand: 6 - Capacity: base_capacity,0.057242400000000006
Bilthoven,"[12048153.0, 12048153.0, 12048153.0, 12048153.0, 12048153.0, 12048153.0, 12048153.0, 12048153.0, 12048153.0, 12048153.0]",manufacturer,5,Demand: 6 - Capacity: base_capacity,0.057242400000000006
Biological_E,"[164885690.0, 164885690.0, 164885690.0, 164885690.0, 164885690.0, 164885690.0, 164885690.0, 164885690.0, 164885690.0, 164885690.0]",manufacturer,5,Demand: 6 - Capacity: base_capacity,0.057242400000000006
China_National,"[12812242.0, 12812242.0, 12812242.0, 12812242.0, 12812242.0, 12812242.0, 12812242.0, 12812242.0, 12812242.0, 12812242.0]",manufacturer,5,Demand: 6 - Capacity: base_capacity,0.057242400000000006
GSK,"[226762686.0, 226762686.0, 226762686.0, 226762686.0, 226762686.0, 226762686.0, 226762686.0, 226762686.0, 226762686.0, 226762686.0]",manufacturer,5,Demand: 6 - Capacity: base_capacity,0.057242400000000006
Haffkine_Bio,"[80972855.0, 80972855.0, 80972855.0, 80972855.0, 80972855.0, 80972855.0, 80972855.0, 80972855.0, 80972855.0, 80972855.0]",manufacturer,5,Demand: 6 - Capacity: base_capacity,0.057242400000000006
LG_Chem,"[43702188.0, 43702188.0, 43702188.0, 43702188.0, 43702188.0, 43702188.0, 43702188.0, 43702188.0, 43702188.0, 43702188.0]",manufacturer,5,Demand: 6 - Capacity: base_capacity,0.057242400000000006
Merck_Sharp,"[56991052.0, 56991052.0, 56991052.0, 56991052.0, 56991052.0, 56991052.0, 56991052.0, 56991052.0, 56991052.0, 56991052.0]",manufacturer,5,Demand: 6 - Capacity: base_capacity,0.057242400000000006
PT_Bio,"[45911731.0, 45911731.0, 45911731.0, 45911731.0, 45911731.0, 45911731.0, 45911731.0, 45911731.0, 45911731.0, 45911731.0]",manufacturer,5,Demand: 6 - Capacity: base_capacity,0.057242400000000006
Panacea_Biotec,"[10874165.0, 10874165.0, 10874165.0, 10874165.0, 10874165.0, 10874165.0, 10874165.0, 10874165.0, 10874165.0, 10874165.0]",manufacturer,5,Demand: 6 - Capacity: base_capacity,0.057242400000000006
Pfizer,"[83916974.0, 83916974.0, 83916974.0, 83916974.0, 83916974.0, 83916974.0, 83916974.0, 83916974.0, 83916974.0, 83916974.0]",manufacturer,5,Demand: 6 - Capacity: base_capacity,0.057242400000000006
Sanofi,"[87429432.0, 87429432.0, 87429432.0, 87429432.0, 87429432.0, 87429432.0, 87429432.0, 87429432.0, 87429432.0, 87429432.0]",manufacturer,5,Demand: 6 - Capacity: base_capacity,0.057242400000000006
Serum_Institute,"[587114096.0, 587114096.0, 587114096.0, 587114096.0, 587114096.0, 587114096.0, 587114096.0, 587114096.0, 587114096.0, 587114096.0]",manufacturer,5,Demand: 6 - Capacity: base_capacity,0.057242400000000006
Diphtheria,"[711050900 679613900 917355100 836818100 746278900 922058400 1426859000
 1175127700 973057200 683673500]",antigen,6,Demand: 2 - Capacity: IPV_Shortage,0.0022144
HPV,"[29266600 35276000 39728900 46412200 53476900 58358000 66330900 72908300
 75298300 90917800]",antigen,6,Demand: 2 - Capacity: IPV_Shortage,0.0022144
Hepatitis_B,"[313064100 382531200 437092100 429619500 393742900 369097400 442800200
 528674500 443817200 451808800]",antigen,6,Demand: 2 - Capacity: IPV_Shortage,0.0022144
Hib,"[286677800 306061700 285422200 361438000 341935900 360397500 372502800
 382097300 409937600 418451200]",antigen,6,Demand: 2 - Capacity: IPV_Shortage,0.0022144
Measles,"[518619900 375746400 398902700 542762500 713609600 811118000 736873900
 888747300 907113900 1156756300]",antigen,6,Demand: 2 - Capacity: IPV_Shortage,0.0022144
